id_review,caption,timestamp,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSURNNmFfaVdnEAEaFmVZV3RkOC1MemdpYkN3YkNDTzlpTEE,Museo pequeño pero lleno de trajes de la historia del carnaval de Badajoz. Es gratuito,Hace 2 meses,2020-03-23 12:27:13.517151,4.0,Nieves Rodríguez Pascual,0,0,https://www.google.com/maps/contrib/100898823423859367418?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURNOGJ2Y01BEAEaFmw4TnFLUVdEc3V6UkMzTFRJd01JYXc,,Hace 2 meses,2020-03-23 12:27:13.518148,5.0,Isabel Colorado,30,0,https://www.google.com/maps/contrib/101503642883337142277?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURNOXNDc21nRRABGhZKbVcyNmx6RFZKc0d2TlZjMnNNOERB,Donde está esto?,Hace 2 meses,2020-03-23 12:27:13.519145,5.0,Mari Carmen Ardila Mendiano,0,0,https://www.google.com/maps/contrib/104239730219316087292?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURNcHZTNjJnRRABGhZ5SW1scXI3dHpYTjdKa3F5d25VV01n,,Hace 2 meses,2020-03-23 12:27:13.520142,5.0,Alicia Llera,10,0,https://www.google.com/maps/contrib/103552835826264599473?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURNNHZDNFhnEAEaFnBCVDJLOFB4X3JHT25KMXNJNFAxN2c,,Hace 3 meses,2020-03-23 12:27:13.521140,5.0,Jose Manuel Guerra Vizuete,3,0,https://www.google.com/maps/contrib/111254510674424983295?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURNekpYWGpRRRABGhZKVVdFZGdaZ0pBeU91emF4QzVrQkpB,,Hace 3 meses,2020-03-23 12:27:13.522137,5.0,EDU,0,0,https://www.google.com/maps/contrib/101364600038469932036?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURNaUl1VU1nEAEaFlFaTkw1cEttOTNubmNOUmJDcDJmN2c,Bonito,Hace 3 meses,2020-03-23 12:27:13.523134,5.0,Leyre,0,0,https://www.google.com/maps/contrib/105454441481751051417?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURNd0xqU2xBRRABGhY5SXBJWUZ1ZDhZMlljbVZTeHpKYlJR,Muy vonito,Hace 3 meses,2020-03-23 12:27:13.524133,4.0,JOSE GONGORA HERAS,1,0,https://www.google.com/maps/contrib/117968933039072521057?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURNZ0lHRUJBEAEaFld2dkpYNjVyZDQ1WGw1SGttSnBqb3c,Super hermoso e interesante,Hace 3 meses,2020-03-23 12:27:13.525149,5.0,Sabrina Goncalves,0,0,https://www.google.com/maps/contrib/116315125523936791681?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNNdi1lQUN3EAEaFjRVLW84X1BiQTd2ZFpzZi1lR28wcUE,,Hace 3 meses,2020-03-23 12:27:19.866005,4.0,juan carlos romero,0,0,https://www.google.com/maps/contrib/104739839579846120905?hl=es-ES
