id_review,caption,timestamp,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSURzNXNiVVhBEAEaFkJxQ3FVV3VERkZNSExNRTNYM3o5cFE,"Voy a menudo, tranquilo",Hace 2 semanas,2020-03-23 12:39:27.031286,4.0,Marina Blanco,26,0,https://www.google.com/maps/contrib/103402339072418207863?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzMnJMWGNBEAEaFnNHYmxuczU4RU5mQUVmaXNWLWl4LXc,,Hace 3 semanas,2020-03-23 12:39:27.032283,4.0,Maria Isabel Covarsi Rojas,6,0,https://www.google.com/maps/contrib/106103804287009794446?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzNm9LVElnEAEaFnR5MXI4b2EyQ21vcm1GQnRKYV9GaVE,,Hace 3 semanas,2020-03-23 12:39:27.033280,5.0,Dark Wheel,1,0,https://www.google.com/maps/contrib/114760629538679175275?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzcXNHMnJ3RRABGhY4djFNekRJVzBZdmVYbmgtY3hicDZ3,"Buen servicio, comida rica y una gran terraza para disfrutar de los días soleafos!👌",Hace 3 semanas,2020-03-23 12:39:27.034278,4.0,Jesús Guisado Gallardo,7,0,https://www.google.com/maps/contrib/103333758888939442819?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzaXVIQk9REAEaFjN2T0hWblVNbTAydnFWbGkwX3ZDd3c,,Hace 3 semanas,2020-03-23 12:39:27.035275,5.0,Marta Martínez,0,0,https://www.google.com/maps/contrib/107959053346899513561?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzaW9hcHV3RRABGhZNNlV6bldkQWUzSzdCV2dzMjZSNm93,,Hace 3 semanas,2020-03-23 12:39:27.036272,5.0,Ricardo Santos,1,0,https://www.google.com/maps/contrib/117723906760325769330?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzc3E2a1pBEAEaFm94ZTQ5ZlYtOFNRdldIOHMwS0d2Y3c,,Hace 3 semanas,2020-03-23 12:39:27.037270,5.0,Alba Prieto Moralo,0,0,https://www.google.com/maps/contrib/103175320898799025089?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURza3ZYYnN3RRABGhZYUi10OF9pdWVyM2VvNS14UXRxZjV3,Es un lugar muy tranquilo y bonito para visitar una tarde,Hace 3 semanas,2020-03-23 12:39:27.038268,5.0,Samuel Torrado Rivera,5,0,https://www.google.com/maps/contrib/104086868737140194826?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURza3BtajdnRRABGhY2cE9vZFlwbDFrVzdLTG9HbFYzVTB3,,Hace 3 semanas,2020-03-23 12:39:27.038268,5.0,jose maria cordero perez,3,0,https://www.google.com/maps/contrib/115444344229289235628?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURza295U0VnEAEaFm03N1Q0bHJ3TnFuOWVTYm1GSzEzTGc,Badajoz en carnavales es único,Hace 3 semanas,2020-03-23 12:39:33.464139,5.0,Nerea Madariaga,22,0,https://www.google.com/maps/contrib/100584796490116105808?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSURzZ3F1S0JREAEaFjhlbnBjM1p6QXpiOWxrNU9xcUFQY1E,,Hace 3 semanas,2020-03-23 12:39:33.465134,4.0,juan parra vaquerizo,0,0,https://www.google.com/maps/contrib/113436020254554545937?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSURzM0tlTzhBRRABGhZWNHFQS3JudzFrOUNVSkhNWkhlMmRB,,Hace 3 semanas,2020-03-23 12:39:33.466134,5.0,Abel Montero Delgado,12,0,https://www.google.com/maps/contrib/100737384051684760016?hl=es-ES
