placename,place_id;id_review,caption,timestamp,rati,rating,username,n_photo_user,url_user
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;"ChZDSUhNMG9nS0VJQ0FnSUQwN0xfQk1nEAEaFnVYamNIMXFuaFA2U25zR2luQW9ha0E,""Me gusta,es bonito y relajado"",Hace 4 meses,2020-03-23 12:34:13.741435,1.0,vicenta sanguino,0,0,https://www.google.com/maps/contrib/114454053287371316687?hl=es-ES"
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChZDSUhNMG9nS0VJQ0FnSUQwcE51OFZBEAEaFjVpZGl5a2c2ay1aa1oyTXhtcDdpa1E,,Hace 4 meses,2020-03-23 12:34:13.742432,5.0,Valentin Ramirez Garcia,0,0,https://www.google.com/maps/contrib/112599553844740988001?hl=es-ES
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChZDSUhNMG9nS0VJQ0FnSUQwcUstQ1FREAEaFlVkOEZScUVHYmU0WFZSakVKZnJBUkE,,Hace 5 meses,2020-03-23 12:34:13.743429,3.0,Edicrol 0.12,0,0,https://www.google.com/maps/contrib/105315790031197999368?hl=es-ES
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChZDSUhNMG9nS0VJQ0FnSUMwcTVlb0tBEAEaFlpvZXhRTmlpUGV1ZTlaSEZYckNXcUE,,Hace 5 meses,2020-03-23 12:34:13.744426,5.0,Juan Luis Martin Rebollo,0,0,https://www.google.com/maps/contrib/111853578561561997044?hl=es-ES
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChZDSUhNMG9nS0VJQ0FnSUMwcTR2NVR3EAEaFkp0TGRIeDlvSGFPUDdxb0VqZHBIUHc,,Hace 5 meses,2020-03-23 12:34:13.745424,5.0,Rafael Sanchez Gonzalez,2,0,https://www.google.com/maps/contrib/107232026246947733559?hl=es-ES
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;"ChZDSUhNMG9nS0VJQ0FnSUMwMmMzQVlBEAEaFmlYa1oxQWlHeVhjaVV1dFlGY2Y2Ync,""Bonito, bien cuidado en un entorno agradable."",Hace 5 meses,2020-03-23 12:34:13.746421,5.0,Carlos Blanco,0,0,https://www.google.com/maps/contrib/103506349326136290142?hl=es-ES"
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChZDSUhNMG9nS0VJQ0FnSUMwaVp1Q1NBEAEaFk9jNURIenZWZ2pFTFhLT084aUdQa3c,Cuidado y emotivo,Hace 5 meses,2020-03-23 12:34:13.746421,5.0,Nieves Casas García,0,0,https://www.google.com/maps/contrib/109091139584598253857?hl=es-ES
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChZDSUhNMG9nS0VJQ0FnSUNVNThPbUhnEAEaFi0zMzdyNTRjVm0xZ0dEdWtGRXR3bmc,Utilizo el parking a diario. Pero al obelisco no subo nunca.,Hace 5 meses,2020-03-23 12:34:20.282002,3.0,Marcos Antonio Iglesias,0,0,https://www.google.com/maps/contrib/110520838079146304993?hl=es-ES
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChZDSUhNMG9nS0VJQ0FnSUMwb2Rub1lREAEaFkR1UVE1V3E0dXE0N0NPWFhiT2tFNlE,Es bonito pero se podía haber hecho mas ostentoso  aprovechando el sitio,Hace 5 meses,2020-03-23 12:34:20.282002,4.0,Manuel Jesús Flores Vital,0,0,https://www.google.com/maps/contrib/114206376005104524575?hl=es-ES
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChZDSUhNMG9nS0VJQ0FnSUMwem9xWGRREAEaFmxJOHgzTnNJOGUyRjE2X1BGbzRmNHc,Muy educadas y muy segura de lo que hace. La chica extranjera.,Hace 5 meses,2020-03-23 12:34:20.282999,4.0,Mar Gomez,0,0,https://www.google.com/maps/contrib/112630169076156413506?hl=es-ES
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;"ChZDSUhNMG9nS0VJQ0FnSUMwX09fRmRBEAEaFkFZWnBXS2ZsbjVxSnk2dUFDUUJaQ3c,""General Menacho (Cádiz 1766- Badajoz 1811) Heróico defensor de Badajoz en la Guerra de la Independencia, defendió la plaza frente al  ataque frances y donde fue herido de muerte en sus murallas, con la colaboración del ejercito, ayuntamiento, entidades y ciudadanos se construyo el Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8 (1893) se rodeo de jardines con unas escaleras que conducen a la parte alta del Baluarte de Santiago y ademas se llamo calle Menacho a la calle que conduce a él. El diseño del Obelisco es de Julio Carande Galán y lo realizaron los marmolistas Antonio Zoido y Antonio Almendros. Mide 8 metros de altura y es de mármol portugués, italiano y de Alconera(Badajoz) está rodeado por cuatro leonés de mármol y en el pedestal de la columna aparecen escenas militares referente al personaje, también hay una escultura del General Menacho en la avda de Huelva del escultor. Salvador Amaya"",Hace 6 meses,2020-03-23 12:34:20.283997,4.0,Isabel,0,0,https://www.google.com/maps/contrib/109752631259972609353?hl=es-ES"
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChZDSUhNMG9nS0VJQ0FnSUMweEpTeGVnEAEaFmNwMW81VkFvaC1iOUc0TDZHU2xlRGc,,Hace 6 meses,2020-03-23 12:34:20.284994,1.0,FRANCISCO CABRERA,0,0,https://www.google.com/maps/contrib/114553339267562531918?hl=es-ES
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChZDSUhNMG9nS0VJQ0FnSUMwd09YdUl3EAEaFlBuRjdiVTNWSmE3M0xjQ1k0aFMxYVE,Bonito sitio se encuentra encima del parking con el mismo nombre lo que lo hace poco visible al paso de la gente,Hace 6 meses,2020-03-23 12:34:20.285992,3.0,xXfusteXx ENL,0,0,https://www.google.com/maps/contrib/117566920309862558988?hl=es-ES
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChZDSUhNMG9nS0VJQ0FnSURVdjkzbFV3EAEaFllUbGduQnVJUFpMajRTNDJMNnhKVXc,,Hace 6 meses,2020-03-23 12:34:20.286989,5.0,Isabela G. Carmona,0,0,https://www.google.com/maps/contrib/115769552340451099614?hl=es-ES
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChZDSUhNMG9nS0VJQ0FnSURVdjdYMmR3EAEaFkdBeVQ1eDJCVHNJNnQ2Y1p3bl9ILXc,,Hace 6 meses,2020-03-23 12:34:20.287986,4.0,Nando Badajoz,0,0,https://www.google.com/maps/contrib/100439920136947201335?hl=es-ES
Obelisco a la Memoria del General Menacho,ChIJMZcdjTrkFg0RzclrYplCHq8;ChdDSUhNMG9nS0VJQ0FnSURVMDZLV3BBRRABGhZOM1VBREFlc1kzM012MHh5SGpaRUxn,,Hace 6 meses,2020-03-23 12:34:20.288984,5.0,Lola Correa,1,0,https://www.google.com/maps/contrib/102717720386898321699?hl=es-ES
